地址,Lat緯度,Lng經度
地址,23.975744,120.979772
高雄市路竹區甲南里天祐路 24 號,22.878119,120.252911
高雄市路竹區竹南里中正路 288 號,22.857545,120.260673
高雄市岡山區碧紅里岡燕路 111 號,22.79295,120.29903
高雄市橋頭區橋頭里站前街 14 號,22.759906,120.310608
高雄市楠梓區惠楠里建楠路 229 號,22.727045,120.325237
高雄市左營區尾北里站前北路 1 號,22.688327,120.305908
高雄市左營區翠華路1050號地下1層,22.674135,120.293733
高雄市鼓山區翠華路500號地下1層,22.665814,120.287034
高雄市鼓山區翠華路246號,22.652738,120.28158
高雄市鼓山區鐵路街20巷6號,22.642935,120.27984
高雄市三民區德北里6鄰康平街1號,22.639308,120.294037
高雄市三民區港西里建國二路 318 號,22.637281,120.313667
高雄市三民區博惠里14鄰凱旋一路260號,22.638792,120.314871
高雄市三民區建軍里正義路 308 巷,22.635269,120.342832
高雄市鳳山區曹公里曹公路 137 號,22.630339,120.357409
高雄市大寮區後庄里民慶街 9 號,22.640235,120.391863
高雄市大樹區久堂里久堂路鐵路巷 15 號,22.659103,120.421521
